# Exposure 1: duration 900s, RA: 35.800000000000004, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
38553842652021061      1   -3.17970    5.06522   35.78408   -3.81036
38553700918127081      2  -14.28889   -3.36008   35.81060   -3.84500
38553700918128501      3   -6.08878   -4.65654   35.81457   -3.81935
38553700918126542      4  -17.61476   -5.63418   35.81776   -3.85536
38553700918128861      5   -4.50587  -10.95804   35.83430   -3.81433
18383685963      6  -13.73932  -16.27327   35.85104   -3.84312
38553700918128347      7   -6.65984  -20.11519   35.86300   -3.82095
38553700918126769      8  -15.89443  -26.21123   35.88218   -3.84973
38553700918128536      9   -6.29358  -25.99748   35.88141   -3.81973
2490236331872342528   1654   -4.43670  -24.33711   35.87619   -3.81395
18383680458     10  -13.52069  -32.24440   35.90103   -3.84224
38553700918128759     11   -4.81129  -37.17897   35.91637   -3.81496
18383688441     12  -13.83673  -40.53915   35.92697   -3.84311
38553700918127510     13  -10.32747  -44.05593   35.93792   -3.83211
38553700918127129     14  -14.00174  -47.06704   35.94737   -3.84354
38553700918108988     15   -5.95505  -52.71097   35.96490   -3.81834
38553700918127265     16  -13.50393  -57.40758   35.97963   -3.84184
38553563479176481     17   -6.24430  -61.59199   35.99260   -3.81913
18383637905     18  -14.00654  -63.80807   35.99958   -3.84331
18383663975     19   -6.74640  -67.58100   36.01125   -3.82061
38553563479175266     20  -13.52806  -69.13024   36.01614   -3.84174
38553563479176474     21   -6.41511  -76.63602   36.03941   -3.81946
38553563479175327     22  -13.28743  -80.85698   36.05258   -3.84081
2490225336755718400     23   -3.48472  -83.09758   36.05943   -3.81024
38553563479175287     24  -13.07328  -87.88889   36.07438   -3.84004
38553563479176169     25   -8.23687  -92.62501   36.08900   -3.82491
38553563479175380     26  -12.63807  -95.72357   36.09863   -3.83856
2490057214555967104     40  -11.37046 -151.22813   36.26863   -3.83368
2490058554585766656     45   -7.79278 -172.75514   36.33345   -3.82226
38553288601266776     48  -15.47291 -187.11418   36.37630   -3.84561
18383674956     49   -6.87708 -188.59352   36.38064   -3.81918
38553292896225949     51   -4.15979 -195.26838   36.40036   -3.81073
38553288601266681     52  -15.89732 -196.30179   36.40348   -3.84671
2490058004829951872     53   -9.02213 -200.42034   36.41558   -3.82555
18383658882     54  -14.37503 -208.00738   36.43785   -3.84178
38553288601267751     55   -9.67810 -208.79932   36.44015   -3.82740
38558786159408012     56  -14.46585 -215.52100   36.45976   -3.84188
18385784924     57   -7.08208 -219.92124   36.47248   -3.81926
38553838357078039     58  -24.62121   11.96385   35.76272   -3.87745
38553838357058760     59  -27.81612    6.15891   35.78093   -3.88737
38553838357059847     60  -20.44327    4.70316   35.78541   -3.86432
18383660057     61  -27.40923    0.16020   35.79972   -3.88603
18383653626     62  -20.54559   -3.48496   35.81106   -3.86455
38553700918124582     63  -29.42795   -5.32426   35.81692   -3.89227
38553700918125646     64  -22.89832  -13.48776   35.84242   -3.87178
38553700918124611     65  -29.24949  -19.15214   35.86021   -3.89154
38553700918106969     66  -18.54349  -19.51721   35.86125   -3.85809
